opportunity_id,sales_agent,manager,regional_office,product,account,sector,deal_stage,engage_date,close_date,close_value
0000I7AO,"Jonathan Berthelot","Melvin Marxen","Central","GTX Basic",Rangreen,technology,Won,2017-04-05,2017-05-12,505
00400B1S,"Lajuana Vencill","Dustin Brinkmann","Central","GTX Basic",NULL,NULL,Prospecting,NULL,NULL,NULL
005JS57S,"Gladys Colclough","Melvin Marxen","Central","GTX Basic",Treequote,telecommunications,Won,2017-10-30,2017-11-11,539
00KY25OA,"Donn Cantrell","Rocco Neubert","East","GTX Basic",Condax,medical,Won,2017-05-19,2017-06-01,564
00X8VEYH,"Jonathan Berthelot","Melvin Marxen","Central","GTX PRO",Rundofase,technology,Won,2017-10-07,2017-12-22,4404
00XBYXIB,"Kary Hendrixson","Summer Sewald","West","GTX Plus Basic",Green-Plus,services,Won,2017-07-08,2017-07-09,993
00ZD3M4J,"Reed Clapper","Rocco Neubert","East","GTX PRO",Plussunin,retail,Lost,2017-06-25,2017-07-04,0
018KKT5I,"Rosalina Dieter","Celia Rouche","West","GTX Basic",Faxquote,telecommunications,Lost,2017-10-05,2017-10-11,0
019I751P,"Anna Snelling","Dustin Brinkmann","Central","GTX Plus Basic",Statholdings,employment,Won,2017-07-02,2017-07-09,1180
01DZ14Y0,"Gladys Colclough","Melvin Marxen","Central","MG Advanced",dambase,marketing,Lost,2017-08-28,2017-11-25,0
01EH41WA,"Zane Levy","Summer Sewald","West","GTX PRO",NULL,NULL,Engaging,2017-03-04,NULL,NULL
01FNZW2T,"Rosie Papadopoulos","Cara Losch","East","GTX PRO","Bubba Gump",software,Won,2017-08-30,2017-12-08,3974
01QKN578,"Darcel Schlecht","Melvin Marxen","Central","GTX PRO",Funholding,finance,Won,2016-12-23,2017-03-20,4247
01X8H9SO,"Corliss Cosme","Cara Losch","East","GTX PRO","Bubba Gump",software,Won,2017-01-30,2017-05-13,5035
01XZ9CRY,"Zane Levy","Summer Sewald","West","GTX Plus Pro",Initech,telecommunications,Engaging,2017-09-18,NULL,NULL
